tradeDate,closeIndex,CHGPct
2013/9/2,2098.448,3.10E-05
2013/9/3,2123.112,0.011753
2013/9/4,2127.618,0.002122
2013/9/5,2122.43,-0.002438
2013/9/6,2139.993,0.008275
2013/9/9,2212.516,0.033889
2013/9/10,2237.984,0.011511
2013/9/11,2241.268,0.001467
2013/9/12,2255.605,0.006397
2013/9/13,2236.217,-0.008595
2013/9/16,2231.401,-0.002154
2013/9/17,2185.56,-0.020544
2013/9/18,2191.851,0.002878
2013/9/23,2221.044,0.013319
2013/9/24,2207.531,-0.006084
2013/9/25,2198.515,-0.004084
2013/9/26,2155.809,-0.019425
2013/9/27,2160.027,0.001957
2013/9/30,2174.665,0.006777
2013/10/8,2198.199,0.010822
2013/10/9,2211.769,0.006173
2013/10/10,2190.929,-0.009422
2013/10/11,2228.146,0.016987
2013/10/14,2237.773,0.004321
2013/10/15,2233.412,-0.001949
2013/10/16,2193.074,-0.018061
2013/10/17,2188.542,-0.002067
2013/10/18,2193.78,0.002393
2013/10/21,2229.237,0.016163
2013/10/22,2210.652,-0.008337
2013/10/23,2183.107,-0.01246
2013/10/24,2164.322,-0.008605
2013/10/25,2132.955,-0.014493
2013/10/28,2133.869,0.000429
2013/10/29,2128.864,-0.002346
2013/10/30,2160.463,0.014843
2013/10/31,2141.614,-0.008725
2013/11/1,2149.562,0.003711
2013/11/4,2149.634,3.30E-05
2013/11/5,2157.24,0.003538
2013/11/6,2139.607,-0.008174
2013/11/7,2129.4,-0.004771
2013/11/8,2106.127,-0.010929
2013/11/11,2109.471,0.001588
2013/11/12,2126.772,0.008202
2013/11/13,2087.941,-0.018258
2013/11/14,2100.506,0.006018
2013/11/15,2135.827,0.016815
2013/11/18,2197.219,0.028744
2013/11/19,2193.125,-0.001863
2013/11/20,2206.613,0.00615
2013/11/21,2205.766,-0.000384
2013/11/22,2196.378,-0.004256
2013/11/25,2186.115,-0.004673
2013/11/26,2183.073,-0.001392
2013/11/27,2201.07,0.008244
2013/11/28,2219.372,0.008315
2013/11/29,2220.504,0.00051
2013/12/2,2207.371,-0.005914
2013/12/3,2222.67,0.006931
2013/12/4,2251.762,0.013089
2013/12/5,2247.063,-0.002087
2013/12/6,2237.108,-0.00443
2013/12/9,2238.2,0.000488
2013/12/10,2237.492,-0.000316
2013/12/11,2204.166,-0.014894
2013/12/12,2202.796,-0.000622
2013/12/13,2196.075,-0.003051
2013/12/16,2160.861,-0.016035
2013/12/17,2151.079,-0.004527
2013/12/18,2148.285,-0.001299
2013/12/19,2127.792,-0.009539
2013/12/20,2084.794,-0.020208
2013/12/23,2089.707,0.002357
2013/12/24,2092.905,0.00153
2013/12/25,2106.354,0.006426
2013/12/26,2073.099,-0.015788
2013/12/27,2101.251,0.01358
2013/12/30,2097.529,-0.001771
2013/12/31,2115.978,0.008796
2014/1/2,2109.387,-0.003115
2014/1/3,2083.136,-0.012445
2014/1/6,2045.709,-0.017967
2014/1/7,2047.317,0.000786
2014/1/8,2044.34,-0.001454
2014/1/9,2027.622,-0.008178
2014/1/10,2013.298,-0.007064
2014/1/13,2009.564,-0.001855
2014/1/14,2026.842,0.008598
2014/1/15,2023.348,-0.001724
2014/1/16,2023.701,0.000174
2014/1/17,2004.949,-0.009266
2014/1/20,1991.253,-0.006831
2014/1/21,2008.313,0.008567
2014/1/22,2051.749,0.021628
2014/1/23,2042.18,-0.004664
2014/1/24,2054.392,0.00598
2014/1/27,2033.3,-0.010267
2014/1/28,2038.513,0.002564
2014/1/29,2049.914,0.005593
2014/1/30,2033.083,-0.008211
2014/2/7,2044.497,0.005614
2014/2/10,2086.067,0.020333
2014/2/11,2103.671,0.008439
2014/2/12,2109.955,0.002987
2014/2/13,2098.401,-0.005476
2014/2/14,2115.848,0.008314
2014/2/17,2135.415,0.009248
2014/2/18,2119.066,-0.007656
2014/2/19,2142.554,0.011084
2014/2/20,2138.782,-0.001761
2014/2/21,2113.693,-0.011731
2014/2/24,2076.686,-0.017508
2014/2/25,2034.219,-0.020449
2014/2/26,2041.254,0.003458
2014/2/27,2047.354,0.002988
2014/2/28,2056.302,0.004371
2014/3/3,2075.235,0.009207
2014/3/4,2071.473,-0.001813
2014/3/5,2053.084,-0.008877
2014/3/6,2059.578,0.003163
2014/3/7,2057.908,-0.000811
2014/3/10,1999.065,-0.028594
2014/3/11,2001.157,0.001046
2014/3/12,1997.692,-0.001731
2014/3/13,2019.111,0.010722
2014/3/14,2004.339,-0.007316
2014/3/17,2023.673,0.009646
2014/3/18,2025.196,0.000753
2014/3/19,2021.734,-0.001709
2014/3/20,1993.479,-0.013976
2014/3/21,2047.619,0.027159
2014/3/24,2066.279,0.009113
2014/3/25,2067.311,0.000499
2014/3/26,2063.67,-0.001761
2014/3/27,2046.588,-0.008277
2014/3/28,2041.712,-0.002383
2014/3/31,2033.306,-0.004117
2014/4/1,2047.46,0.006961
2014/4/2,2058.988,0.00563
2014/4/3,2043.702,-0.007424
2014/4/4,2058.831,0.007403
2014/4/8,2098.284,0.019163
2014/4/9,2105.237,0.003314
2014/4/10,2134.3,0.013805
2014/4/11,2130.542,-0.001761
2014/4/14,2131.539,0.000468
2014/4/15,2101.601,-0.014045
2014/4/16,2105.122,0.001675
2014/4/17,2098.885,-0.002963
2014/4/18,2097.748,-0.000542
2014/4/21,2065.826,-0.015217
2014/4/22,2072.831,0.003391
2014/4/23,2067.382,-0.002629
2014/4/24,2057.033,-0.005006
2014/4/25,2036.519,-0.009973
2014/4/28,2003.487,-0.01622
2014/4/29,2020.341,0.008412
2014/4/30,2026.358,0.002978
2014/5/5,2027.353,0.000491
2014/5/6,2028.038,0.000338
2014/5/7,2010.083,-0.008853
